cleaned
mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,source,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
3070,1.3,23,0,0.0,1082.0,9,0,11,Binance,0.0,9.0,29210,24,72,56,42.8,INDIVIDUAL,5,24.0,41.1,0.0,0.0,15.0,6.2,0.0,0.0,0.0,0.0,36,TRUE
17326,2.7,47,48,0.4461538461538460,988.0,1448,1448,1440,Kucoin,5.0,373.0,7412,29,100,0,0,RENOUNCED,18,60.0,47.8,0.0,0.0,1.0,0.5,1.0,0.9,1.0,1.0,5,FALSE
165024,8.6,,198,0.48717948717948700,9108.0,39,21,40,Binance,1.0,93.0,3606,8,80,0,0,RENOUNCED,10,260.0,253.6,1.0,0.4,12.0,5.1,6.0,1.4,3.0,2.6,10,FALSE
5721,1.8,48,0,0.0,1078.0,10,2,12,Binance,0.0,87.0,4136,91,43,28,33.6,INDIVIDUAL,6,44.0,73.8,0.0,0.0,15.0,6.9,0.0,0.0,0.0,0.0,30,FALSE
11591,2.9,24,0,0.55,630.0,6,0,12,FixedFloat,1.0,186.0,6900,37,75,0,23.9,INDIVIDUAL,4,26.0,32.9,0.0,0.0,13.0,13.6,0.0,0.0,0.0,0.0,396,TRUE
809731,42.3,,436,0.0,1187.0,8652,7203,8640,INDIVIDUAL,0.0,1864.0,5025,24,93,0,0,RENOUNCED,24,608.0,454.4,1.0,0.3,0.0,0.0,11.0,2.3,9.0,5.4,15,FALSE
357101,12.7,,280,0.48717948717948700,9109.0,44,26,45,Binance,1.0,373.0,6302,41,93,0,0,RENOUNCED,10,331.0,413.9,1.0,0.4,7.0,2.7,6.0,1.5,4.0,4.8,15,TRUE
8043,2.0,8,0,0.0,7856.0,17,0,3,Mexc,0.0,161.0,3145,17,98,25,56.5,INDIVIDUAL,4,10.0,15.8,0.0,0.0,8.0,11.7,0.0,0.0,0.0,0.0,45,TRUE
23493,5.0,43,1,0.8571428571428570,946.0,4,3,6,Binance,0.0,373.0,7053,36,100,0,0,UNKNOWN,3,39.0,18.6,0.0,0.0,16.0,39.3,24.0,46.9,0.0,0.0,4,TRUE
8043,2.0,29,0,0.0,7856.0,17,0,3,Mexc,0.0,169.0,15406,29,76,25,56.9,INDIVIDUAL,4,27.0,38.3,0.0,0.0,8.0,11.7,1.0,1.4,0.0,0.0,49,FALSE
